URL,TITLE,TITLE LENGTH,TITLE STATUS,H1-1,H1-1 LENGTH,H1-1 STATUS,FINAL URL,FINAL URL LENGTH,CANONICAL,CANONICAL LENGTH,META DESCRIPTION,META DESCRIPTION LENGTH,META DESCRIPTION STATUS,META KEYWORDS,META KEYWORDS LENGTH,H2-1,H2-1 LENGTH,H2-1 STATUS,NUMBER OF IMAGES,NUMBER OF WITH ALT-TAG,NUMBER OF WITHOUT ALT-TAG,ALT-TAG AVERAGE LENGTH,ALT-TAG MAXIMUM LENGTH,ALT-TAG MINIMUM LENGTH,NUMBER OF ALT-TAGS THAT ARE DUPLICATED,CONTENT TYPE,DATE,HEADERS,HTTP/HTTPS,REDIRECT,REDIRECT TYPE,RESPONSE TIME (MS),STATUS,STATUS CODE
https://nativeenergy.com/aveda-and-eileen-fisher-enable-new-wind-energy-project-at-indiana-school-with-purchase-of-nativeenergy-carbon-offsets1.html,Aveda and EILEEN FISHER Enable New Wind Energy Project at Indiana School with Purchase of NativeEnergy Carbon Offsets,117.0,TOO LONG,"Your Climate Solutions Expert: carbon offsets, renewable energy credits, and carbon tracking services",101.0,GOOD,http://www.nativeenergy.com/aveda-and-eileen-fisher-enable-new-wind-energy-project-at-indiana-school-with-purchase-of-nativeenergy-carbon-offsets.html,150.0,None,-1,,0.0,"BAD, MISSING META","carbon offsets,  carbon emissions, climate change, indigenous peoples, native americans, tribes",95.0,Buy Carbon Offsets,18.0,TOO SHORT,11.0,9.0,2.0,13.444444444444445,45.0,0.0,0.0,text/html; charset=UTF-8,"Thu, 09 Nov 2017 04:10:58 GMT","{'Date': 'Thu, 09 Nov 2017 04:10:58 GMT', 'Server': 'Apache', 'X-Powered-By': 'PHP/5.5.38', 'P3P': 'CP=""NOI NID ADMa OUR IND UNI COM NAV""', 'Cache-Control': 'private, must-revalidate', 'Set-Cookie': 'evo1mb1hmf=f0f8526486bf13945d99b8477902569b; path=/; httponly', 'Keep-Alive': 'timeout=5, max=99', 'Connection': 'Keep-Alive', 'Transfer-Encoding': 'chunked', 'Content-Type': 'text/html; charset=UTF-8'}",HTTP,False,NONE,448.766,OK,200.0
https://nativeenergy.com/designtex-helps-fund-reforestation-project.html,Designtex Helps Fund Reforestation Project: Apple orchard to support urban food shelves,87.0,TOO LONG,"Your Climate Solutions Expert: carbon offsets, renewable energy credits, and carbon tracking services",101.0,GOOD,http://www.nativeenergy.com/oka-title-here.html,47.0,None,-1,google,6.0,TOO SHORT,"world waterday,  clean water,  carbon offsets,  climate change",62.0,Buy Carbon Offsets,18.0,TOO SHORT,12.0,9.0,3.0,13.444444444444445,45.0,0.0,0.0,text/html; charset=UTF-8,"Thu, 09 Nov 2017 04:12:40 GMT","{'Date': 'Thu, 09 Nov 2017 04:12:40 GMT', 'Server': 'Apache', 'X-Powered-By': 'PHP/5.5.38', 'P3P': 'CP=""NOI NID ADMa OUR IND UNI COM NAV""', 'Cache-Control': 'private, must-revalidate', 'Set-Cookie': 'evo1mb1hmf=a607160a3ec928aef80af7c0476e503a; path=/; httponly', 'Keep-Alive': 'timeout=5, max=99', 'Connection': 'Keep-Alive', 'Transfer-Encoding': 'chunked', 'Content-Type': 'text/html; charset=UTF-8'}",HTTP,False,NONE,472.473,OK,200.0
https://nativeenergy.com/olympic-gold-medalist-hannah-kearney-offsets-training-emissions-with-nativeenergy.html,Olympic Gold Medalist Hannah Kearney Offsets Training Emissions with NativeEnergy,81.0,TOO LONG,"Your Climate Solutions Expert: carbon offsets, renewable energy credits, and carbon tracking services",101.0,GOOD,http://www.nativeenergy.com/press-release-olympic-gold-medalist-hannah-kearney-offsets-training-emissions-with-nativeenergy.html,128.0,None,-1,,0.0,"BAD, MISSING META","carbon offsets,  carbon emissions, climate change, indigenous peoples, native americans, tribes",95.0,Buy Carbon Offsets,18.0,TOO SHORT,10.0,9.0,1.0,13.444444444444445,45.0,0.0,0.0,text/html; charset=UTF-8,"Thu, 09 Nov 2017 04:11:27 GMT","{'Date': 'Thu, 09 Nov 2017 04:11:27 GMT', 'Server': 'Apache', 'X-Powered-By': 'PHP/5.5.38', 'P3P': 'CP=""NOI NID ADMa OUR IND UNI COM NAV""', 'Cache-Control': 'private, must-revalidate', 'Set-Cookie': 'evo1mb1hmf=a349f0db4031d4c84e262c0997e18829; path=/; httponly', 'Keep-Alive': 'timeout=5, max=99', 'Connection': 'Keep-Alive', 'Transfer-Encoding': 'chunked', 'Content-Type': 'text/html; charset=UTF-8'}",HTTP,False,NONE,444.361,OK,200.0
https://nativeenergy.com/nativeenergy-carbon-offset-report-for-sustainable-brands-20131.html,NativeEnergy Carbon Offset Report for Sustainable Brands 2013 | NativeEnergy Blog,81.0,TOO LONG,"Your Climate Solutions Expert: carbon offsets, renewable energy credits, and carbon tracking services",101.0,GOOD,http://www.nativeenergy.com/nativeenergy-carbon-offset-report-for-sustainable-brands-2013.html,94.0,None,-1,google,6.0,TOO SHORT,"carbon offsets,  carbon offsets for business,,  carbon footprint,  carbon project",81.0,Buy Carbon Offsets,18.0,TOO SHORT,12.0,9.0,3.0,13.444444444444445,45.0,0.0,0.0,text/html; charset=UTF-8,"Thu, 09 Nov 2017 04:11:11 GMT","{'Date': 'Thu, 09 Nov 2017 04:11:11 GMT', 'Server': 'Apache', 'X-Powered-By': 'PHP/5.5.38', 'P3P': 'CP=""NOI NID ADMa OUR IND UNI COM NAV""', 'Cache-Control': 'private, must-revalidate', 'Set-Cookie': 'evo1mb1hmf=6679f471391298341478b824356efe2f; path=/; httponly', 'Keep-Alive': 'timeout=5, max=99', 'Connection': 'Keep-Alive', 'Transfer-Encoding': 'chunked', 'Content-Type': 'text/html; charset=UTF-8'}",HTTP,False,NONE,486.132,OK,200.0
https://nativeenergy.com/supply-chain-sustainability-in-action-ben-jerrys-linked-prosperity1.html,Supply Chain Sustainability in Action: Ben & Jerry’s Linked Prosperity,70.0,LONG,"Your Climate Solutions Expert: carbon offsets, renewable energy credits, and carbon tracking services",101.0,GOOD,http://www.nativeenergy.com/supply-chain-sustainability-in-action-ben-jerrys-linked-prosperity.html,99.0,None,-1,google,6.0,TOO SHORT,"world waterday,  clean water,  carbon offsets,  climate change",62.0,Buy Carbon Offsets,18.0,TOO SHORT,11.0,9.0,2.0,13.444444444444445,45.0,0.0,0.0,text/html; charset=UTF-8,"Thu, 09 Nov 2017 04:11:41 GMT","{'Date': 'Thu, 09 Nov 2017 04:11:41 GMT', 'Server': 'Apache', 'X-Powered-By': 'PHP/5.5.38', 'P3P': 'CP=""NOI NID ADMa OUR IND UNI COM NAV""', 'Cache-Control': 'private, must-revalidate', 'Set-Cookie': 'evo1mb1hmf=63afa1e31d4ab307fa7873687e2580ed; path=/; httponly', 'Keep-Alive': 'timeout=5, max=99', 'Connection': 'Keep-Alive', 'Transfer-Encoding': 'chunked', 'Content-Type': 'text/html; charset=UTF-8'}",HTTP,False,NONE,482.352,OK,200.0
https://nativeenergy.com/nativeenergy-announces-acquisition-of-assets-of-sunone-solutions1.html,NativeEnergy Announces Acquisition of Assets of SunOne Solutions,64.0,LONG,"Your Climate Solutions Expert: carbon offsets, renewable energy credits, and carbon tracking services",101.0,GOOD,http://www.nativeenergy.com/nativeenergy-announces-acquisition-of-assets-of-sunone-solutions.html,97.0,None,-1,,0.0,"BAD, MISSING META","carbon offsets,  carbon emissions, climate change, indigenous peoples, native americans, tribes",95.0,Buy Carbon Offsets,18.0,TOO SHORT,10.0,9.0,1.0,13.444444444444445,45.0,0.0,0.0,text/html; charset=UTF-8,"Thu, 09 Nov 2017 04:13:30 GMT","{'Date': 'Thu, 09 Nov 2017 04:13:30 GMT', 'Server': 'Apache', 'X-Powered-By': 'PHP/5.5.38', 'P3P': 'CP=""NOI NID ADMa OUR IND UNI COM NAV""', 'Cache-Control': 'private, must-revalidate', 'Set-Cookie': 'evo1mb1hmf=7b1d50997f625907ff8e23ec0f9f11ad; path=/; httponly', 'Keep-Alive': 'timeout=5, max=99', 'Connection': 'Keep-Alive', 'Transfer-Encoding': 'chunked', 'Content-Type': 'text/html; charset=UTF-8'}",HTTP,False,NONE,469.491,OK,200.0
https://nativeenergy.com/jeff-bernicke-named-ceo-of-nativeenergy.html,Press Release: Jeff Bernicke Named CEO of NativeEnergy,54.0,GOOD,"Your Climate Solutions Expert: carbon offsets, renewable energy credits, and carbon tracking services",101.0,GOOD,http://www.nativeenergy.com/press-release-jeff-bernicke-named-ceo-of-nativeenergy.html,86.0,None,-1,,0.0,"BAD, MISSING META","carbon offsets,  carbon emissions, climate change, indigenous peoples, native americans, tribes",95.0,Buy Carbon Offsets,18.0,TOO SHORT,10.0,9.0,1.0,13.444444444444445,45.0,0.0,0.0,text/html; charset=UTF-8,"Thu, 09 Nov 2017 04:12:34 GMT","{'Date': 'Thu, 09 Nov 2017 04:12:34 GMT', 'Server': 'Apache', 'X-Powered-By': 'PHP/5.5.38', 'P3P': 'CP=""NOI NID ADMa OUR IND UNI COM NAV""', 'Cache-Control': 'private, must-revalidate', 'Set-Cookie': 'evo1mb1hmf=fc9ea2f0724663e36797325170e434eb; path=/; httponly', 'Keep-Alive': 'timeout=5, max=99', 'Connection': 'Keep-Alive', 'Transfer-Encoding': 'chunked', 'Content-Type': 'text/html; charset=UTF-8'}",HTTP,False,NONE,444.052,OK,200.0
https://nativeenergy.com/5-last-minute-green-holiday-gifts1.html,5 Last Minute Green Holiday Gifts | NativeEnergy Blog,53.0,GOOD,"Your Climate Solutions Expert: carbon offsets, renewable energy credits, and carbon tracking services",101.0,GOOD,http://www.nativeenergy.com/5-last-minute-green-holiday-gifts.html,66.0,None,-1,google,6.0,TOO SHORT,"carbon offsets,  carbon offsets for business,  greensburg wind farm,  greensburg,  stonyfield,  green mountain coffee,  reverb,  greensburg greentown,  tornado,  greensburg,  kansas,  greensburg ka,  greenest town in america",224.0,Buy Carbon Offsets,18.0,TOO SHORT,12.0,9.0,3.0,13.444444444444445,45.0,0.0,0.0,text/html; charset=UTF-8,"Thu, 09 Nov 2017 04:13:12 GMT","{'Date': 'Thu, 09 Nov 2017 04:13:12 GMT', 'Server': 'Apache', 'X-Powered-By': 'PHP/5.5.38', 'P3P': 'CP=""NOI NID ADMa OUR IND UNI COM NAV""', 'Cache-Control': 'private, must-revalidate', 'Set-Cookie': 'evo1mb1hmf=49ba7dd4701a6498b90aa04ffa352e30; path=/; httponly', 'Keep-Alive': 'timeout=5, max=99', 'Connection': 'Keep-Alive', 'Transfer-Encoding': 'chunked', 'Content-Type': 'text/html; charset=UTF-8'}",HTTP,False,NONE,470.128,OK,200.0
https://nativeenergy.com/psp.html,Project Supporters Made a Difference | NativeEnergy,51.0,GOOD,"Your Climate Solutions Expert: carbon offsets, renewable energy credits, and carbon tracking services",101.0,GOOD,http://www.nativeenergy.com/psp.html,36.0,None,-1,,0.0,"BAD, MISSING META",,0.0,Buy Carbon Offsets,18.0,TOO SHORT,24.0,19.0,5.0,12.31578947368421,45.0,0.0,6.0,text/html; charset=UTF-8,"Thu, 09 Nov 2017 04:12:29 GMT","{'Date': 'Thu, 09 Nov 2017 04:12:29 GMT', 'Server': 'Apache', 'X-Powered-By': 'PHP/5.5.38', 'P3P': 'CP=""NOI NID ADMa OUR IND UNI COM NAV""', 'Cache-Control': 'private, must-revalidate', 'Set-Cookie': 'evo1mb1hmf=894639114f60e0e0ae1441da7aa1f35b; path=/, evo1mb1hmf=894639114f60e0e0ae1441da7aa1f35b; path=/; httponly', 'Keep-Alive': 'timeout=5, max=100', 'Connection': 'Keep-Alive', 'Transfer-Encoding': 'chunked', 'Content-Type': 'text/html; charset=UTF-8'}",HTTP,False,NONE,704.445,OK,200.0
https://nativeenergy.com/sustainable-brands-14-conference-our-take-away1.html,Sustainable Brands ’14 Conference: Our Take-Away,48.0,SHORT,"Your Climate Solutions Expert: carbon offsets, renewable energy credits, and carbon tracking services",101.0,GOOD,http://www.nativeenergy.com/sustainable-brands-14-conference-our-take-away.html,79.0,None,-1,google,6.0,TOO SHORT,"SB 14, Events. Conferences",26.0,Buy Carbon Offsets,18.0,TOO SHORT,11.0,9.0,2.0,13.444444444444445,45.0,0.0,0.0,text/html; charset=UTF-8,"Thu, 09 Nov 2017 04:12:54 GMT","{'Date': 'Thu, 09 Nov 2017 04:12:54 GMT', 'Server': 'Apache', 'X-Powered-By': 'PHP/5.5.38', 'P3P': 'CP=""NOI NID ADMa OUR IND UNI COM NAV""', 'Cache-Control': 'private, must-revalidate', 'Set-Cookie': 'evo1mb1hmf=984a8b81886a10ad92408fa5c0735c4e; path=/; httponly', 'Keep-Alive': 'timeout=5, max=99', 'Connection': 'Keep-Alive', 'Transfer-Encoding': 'chunked', 'Content-Type': 'text/html; charset=UTF-8'}",HTTP,False,NONE,463.261,OK,200.0
