TAG,DUPLICATION TEXT,NUMBER OF DUPLICATION,URL
TITLE,AsiaInspection News,96,"#
https://www.asiainspection.com/regulatory-updates/February-2017/[URL]
http://www.asiainspection.com/regulatory-updates/December-2016/us-cpsc-notice-flaming-mattress
https://www.asiainspection.com/regulatory-updates/December-2016/china-miit-standardization-lithium-ion-battery
http://www.asiainspection.com/regulatory-updates/March-2016/hong-kong-childrens-products
http://www.asiainspection.com/regulatory-updates/January-2017
https://www.asiainspection.com/regulatory-updates/December-2016/dec2016-updates-of-astm-standards
http://www.asiainspection.com/regulatory-updates/March-2016
https://www.asiainspection.com/regulatory-updates/December-2015
https://www.asiainspection.com/regulatory-updates/December-2016/us-cpsc-statement-crib-bumpers
https://www.asiainspection.com/regulatory-updates/December-2016/health-canada-updates-cosmetic-notification
https://www.asiainspection.com/regulatory-updates/December-2016/us-epa-proposes-npes-tri-list
http://www.asiainspection.com/regulatory-updates/October-2017
https://www.asiainspection.com/regulatory-updates/December-2016/washington-proposes-changes-chcc
https://www.asiainspection.com/regulatory-updates/December-2016/california-latest-prop65-dec2016
http://www.asiainspection.com/regulatory-updates/September-2017
https://www.asiainspection.com/regulatory-updates/December-2016/us-cpsc-notice-flaming-mattress
https://www.asiainspection.com/regulatory-updates/June-2017
http://www.asiainspection.com/regulatory-updates/December-2016/echa-recommendation-9-svhc-chemicals
http://www.asiainspection.com/regulatory-updates/June-2016
https://www.asiainspection.com/regulatory-updates/December-2016/dec2016-europe-recalls-summary
http://www.asiainspection.com/regulatory-updates/March-2017
http://www.asiainspection.com/regulatory-updates/December-2016
https://www.asiainspection.com/regulatory-updates/March-2017
http://www.asiainspection.com/regulatory-updates/December-2016/us-epa-adds-flame-retardants-tri-list
https://www.asiainspection.com/regulatory-updates/December-2016/china-miit-updated-industrial-standards
http://www.asiainspection.com/regulatory-updates/June-2017
https://www.asiainspection.com/regulatory-updates/April-2017
http://www.asiainspection.com/regulatory-updates/July-2017
https://www.asiainspection.com/regulatory-updates/June-2017/june-2017-europe-recalls-summary
https://www.asiainspection.com/regulatory-updates/en/June-2017/#june-2017-australia-baby-dummies-and-chains
https://www.asiainspection.com/regulatory-updates/en/May-2017/#may2017-china-cnis-safety-requirements-hazmat
https://www.asiainspection.com/regulatory-updates/December-2016/canada-proposes-microbeads
http://www.asiainspection.com/regulatory-updates/February-2017
http://www.asiainspection.com/regulatory-updates/December-2016/canada-proposes-updated-consumer-lead
http://www.asiainspection.com/regulatory-updates/October-2016
http://www.asiainspection.com/regulatory-updates/September-2016
https://www.asiainspection.com/regulatory-updates/March-2016/hong-kong-childrens-products
http://www.asiainspection.com/regulatory-updates/December-2016/canada-proposes-updated-children-jewellery
http://www.asiainspection.com/regulatory-updates/February-2017/[URL]
http://www.asiainspection.com/regulatory-updates/December-2016/san-francisco-prohibition-polystyrene
http://www.asiainspection.com/regulatory-updates/May-2016
http://www.asiainspection.com/regulatory-updates/November-2016
https://www.asiainspection.com/regulatory-updates/December-2016/echa-recommendation-9-svhc-chemicals
https://www.asiainspection.com/regulatory-updates/February-2016
https://www.asiainspection.com/regulatory-updates/August-2016
http://www.asiainspection.com/regulatory-updates/July-2016
http://www.asiainspection.com/regulatory-updates/February-2016
http://www.asiainspection.com/regulatory-updates/December-2016/canada-proposes-microbeads
https://www.asiainspection.com/regulatory-updates/December-2016/us-cpsc-and-cbp-collaborate-unsafe-toys
https://www.asiainspection.com/regulatory-updates/February-2017
http://www.asiainspection.com/regulatory-updates/February-2017/mar2017-echa-pah-restriction
https://www.asiainspection.com/regulatory-updates/en/July-2017/#july2017-taiwan-food-contact-labeling-requirements
https://www.asiainspection.com/regulatory-updates/May-2016
http://www.asiainspection.com/regulatory-updates/December-2016/japan-new-textile-care-labeling
http://www.asiainspection.com/regulatory-updates/December-2016/china-miit-standardization-lithium-ion-battery
http://www.asiainspection.com/regulatory-updates/December-2016/us-epa-proposes-npes-tri-list
https://www.asiainspection.com/regulatory-updates/September-2017
https://www.asiainspection.com/regulatory-updates/July-2016
https://www.asiainspection.com/regulatory-updates/June-2016
https://www.asiainspection.com/regulatory-updates/May-2017
http://www.asiainspection.com/regulatory-updates/May-2017
https://www.asiainspection.com/regulatory-updates/en/July-2017/#july2017-australia-recalls-summary
http://www.asiainspection.com/regulatory-updates/December-2016/us-cpsc-statement-crib-bumpers
https://www.asiainspection.com/regulatory-updates/December-2016/canada-proposes-updated-consumer-lead
https://www.asiainspection.com/regulatory-updates/December-2016
https://www.asiainspection.com/regulatory-updates/February-2017/apr2017-echa-expand-reach-restriction-lead
http://www.asiainspection.com/regulatory-updates/December-2016/us-cpsc-and-cbp-collaborate-unsafe-toys
https://www.asiainspection.com/regulatory-updates/December-2016/canada-proposes-updated-children-jewellery
http://www.asiainspection.com/regulatory-updates/August-2017
http://www.asiainspection.com/regulatory-updates/August-2016
https://www.asiainspection.com/regulatory-updates/September-2016
https://www.asiainspection.com/regulatory-updates/April-2016
http://www.asiainspection.com/regulatory-updates/June-2017/june-2017-europe-recalls-summary
https://www.asiainspection.com/regulatory-updates/March-2016
https://www.asiainspection.com/regulatory-updates/December-2016/san-francisco-prohibition-polystyrene
http://www.asiainspection.com/regulatory-updates/December-2015
http://www.asiainspection.com/regulatory-updates/December-2016/china-miit-updated-industrial-standards
https://www.asiainspection.com/regulatory-updates/October-2017
http://www.asiainspection.com/regulatory-updates/April-2016
https://www.asiainspection.com/regulatory-updates/December-2016/us-epa-adds-flame-retardants-tri-list
http://www.asiainspection.com/regulatory-updates/December-2016/dec2016-updates-of-astm-standards
https://www.asiainspection.com/regulatory-updates/July-2017
https://www.asiainspection.com/regulatory-updates/November-2016
http://www.asiainspection.com/regulatory-updates/December-2016/washington-proposes-changes-chcc
http://www.asiainspection.com/regulatory-updates/December-2016/health-canada-updates-cosmetic-notification
http://www.asiainspection.com/regulatory-updates/December-2016/china-nhfpc-updated
http://www.asiainspection.com/regulatory-updates/December-2016/california-latest-prop65-dec2016
https://www.asiainspection.com/regulatory-updates/October-2016
http://www.asiainspection.com/regulatory-updates/February-2017/apr2017-echa-expand-reach-restriction-lead
https://www.asiainspection.com/regulatory-updates/August-2017
http://www.asiainspection.com/regulatory-updates/April-2017
https://www.asiainspection.com/regulatory-updates/December-2016/japan-new-textile-care-labeling
https://www.asiainspection.com/regulatory-updates/January-2017
https://www.asiainspection.com/regulatory-updates/February-2017/mar2017-echa-pah-restriction
http://www.asiainspection.com/regulatory-updates/December-2016/dec2016-europe-recalls-summary
https://www.asiainspection.com/regulatory-updates/December-2016/china-nhfpc-updated"
TITLE,Quality Control & Supply Chain Audits | Asia Inspection - Global Services,37,"#
https://www.asiainspection.com/#usa_state_news
https://www.asiainspection.com/#international_news_–_australia
https://www.asiainspection.com/#australia_new_zealand_news
https://www.asiainspection.com/#asia_news
https://www.asiainspection.com/#usa_federal_news
http://www.asiainspection.com/quality-control-services-china-india-asia#laboratory_testing
https://www.asiainspection.com/#australia_news
https://www.asiainspection.com/#middle_east_news
https://www.asiainspection.com/#north_america_news
https://www.asiainspection.com/#international_news_–_asia_–_china
https://www.asiainspection.com/#south_africa_news
https://www.asiainspection.com/#international_news_–_asia
https://www.asiainspection.com/#718027
https://www.asiainspection.com/#international_news_–_north_america
https://www.asiainspection.com/
https://www.asiainspection.com/#principleobligation
https://www.asiainspection.com/#international_news_–_europe
https://www.asiainspection.com/#intellectualProperty
https://www.asiainspection.com/#language
https://www.asiainspection.com/#general
https://www.asiainspection.com/#south_america_news
https://www.asiainspection.com/#aiobligation
https://www.asiainspection.com/#footnotes
https://www.asiainspection.com/#provisionservices
https://www.asiainspection.com/#liability
http://www.asiainspection.com/quality-control-services-china-india-asia#audit
https://www.asiainspection.com/#invoicing
https://www.asiainspection.com/#miscellaneous
https://www.asiainspection.com/#europe_news
http://www.asiainspection.com/quality-control-services-china-india-asia#product_inspections
https://www.asiainspection.com/#privacyPolicy
https://www.asiainspection.com/#federal_news
https://www.asiainspection.com/#international_news_–_south_america
http://www.asiainspection.com/
http://www.asiainspection.com
https://www.asiainspection.com/#law
https://www.asiainspection.com/#termination"
TITLE,Updates of ASTM Standards,12,"#
http://www.asiainspection.com/regulatory-updates/June-2017/june-2017-updates-of-astm-standards
http://www.asiainspection.com/regulatory-updates/September-2016/updates-of-astm-standards
http://www.asiainspection.com/regulatory-updates/November-2016/nov2016-updates-of-astm-standards
http://www.asiainspection.com/regulatory-updates/February-2017/feb2017-updates-of-astm-standards
http://www.asiainspection.com/regulatory-updates/September-2017/sept2017-updates-of-astm-standards
https://www.asiainspection.com/regulatory-updates/February-2017/feb2017-updates-of-astm-standards
https://www.asiainspection.com/regulatory-updates/September-2016/updates-of-astm-standards
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-updates-of-astm-standards
https://www.asiainspection.com/regulatory-updates/June-2017/june-2017-updates-of-astm-standards
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-updates-of-astm-standards
https://www.asiainspection.com/regulatory-updates/November-2016/nov2016-updates-of-astm-standards
https://www.asiainspection.com/regulatory-updates/September-2017/sept2017-updates-of-astm-standards"
TITLE,California Proposition 65: Recent 60-Day Notices,8,"#
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-california-prop65-recent-60-day
http://www.asiainspection.com/regulatory-updates/June-2017/june-2017-california-prop65-60-day-notices
http://www.asiainspection.com/regulatory-updates/January-2017/jan2017-california-prop65-recent-60-day-notices
https://www.asiainspection.com/regulatory-updates/January-2017/jan2017-california-prop65-recent-60-day-notices
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-california-prop65-recent-60-day
http://www.asiainspection.com/regulatory-updates/November-2016/nov2016-california-prop65-60-day-notices
https://www.asiainspection.com/regulatory-updates/November-2016/nov2016-california-prop65-60-day-notices
https://www.asiainspection.com/regulatory-updates/June-2017/june-2017-california-prop65-60-day-notices"
TITLE,News,8,"#
http://www.asiainspection.com/asia-inspection-news/2017-q4-manufacturing-peak-season
https://www.asiainspection.com/asia-inspection-news/2017-q4-manufacturing-peak-season
http://www.asiainspection.com/asia-inspection-news/GOALAcquisition
https://www.asiainspection.com/barometer
https://www.asiainspection.com/asia-inspection-news/GOALAcquisition
http://www.asiainspection.com/barometer
https://www.asiainspection.com/asia-inspection-news/hangzhou-lab-launch
http://www.asiainspection.com/asia-inspection-news/hangzhou-lab-launch"
TITLE,US State of California OEHHA Adds New Chemicals to Proposition 65 List,8,"#
https://www.asiainspection.com/regulatory-updates/August-2017/aug2017-california-oehha-new-chemicals-prop65
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-california-oehha-new-chemicals-prop65
http://www.asiainspection.com/regulatory-updates/November-2016/california-oehha-new-chemicals-prop65
https://www.asiainspection.com/regulatory-updates/October-2016/california-prop-65-list
http://www.asiainspection.com/regulatory-updates/August-2017/aug2017-california-oehha-new-chemicals-prop65
http://www.asiainspection.com/regulatory-updates/October-2016/california-prop-65-list
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-california-oehha-new-chemicals-prop65
https://www.asiainspection.com/regulatory-updates/November-2016/california-oehha-new-chemicals-prop65"
TITLE,The page you requested cannot be found |  AsiaInspection.com,6,"#
https://www.asiainspection.com/regulatory-updates/en/July-2017/#july2017-singapore-rohs-regulation-eee-products
https://www.asiainspection.com//www.slideshare.net/asiainspection/ai-q3-barometer-asia-pacific-china-remain-unfazed-by-global-trade-uncertainty-apparel-supply-chains-struggle-with-responsible-sourcing
https://www.asiainspection.com/regulatory-updates/en/May-2017/#may2017-australia-standard-children-garments
https://www.asiainspection.com/regulatory-updates/en/June-2017/#june-2017-malaysia-food-contact-ceramics
https://www.asiainspection.com/lab-reports
https://www.asiainspection.com/regulatory-updates/en/June-2017/#june-2017-hksar-toys-and-childrens-products"
TITLE,"Quality Control Services: Supplier Audits, Product Testing, Inspections",5,"#
http://www.asiainspection.com/quality-control-services
https://www.asiainspection.com/quality-control-services#audit
https://www.asiainspection.com/quality-control-services
https://www.asiainspection.com/quality-control-services#laboratory_testing
https://www.asiainspection.com/quality-control-services#product_inspections"
TITLE,OEHHA Issues the Latest Proposal of California Proposition 65 Warning Regulations,4,"#
https://www.asiainspection.com/regulatory-updates/May-2016/california-proposition-65-warning
http://www.asiainspection.com/regulatory-updates/June-2016/california-proposition-warning
http://www.asiainspection.com/regulatory-updates/May-2016/california-proposition-65-warning
https://www.asiainspection.com/regulatory-updates/June-2016/california-proposition-warning"
TITLE,US EPA Issues Final Rule for Composite Wood Products,4,"#
https://www.asiainspection.com/regulatory-updates/January-2017/epa-final-rule-wood-products
http://www.asiainspection.com/regulatory-updates/August-2016/epa-wood-products
http://www.asiainspection.com/regulatory-updates/January-2017/epa-final-rule-wood-products
https://www.asiainspection.com/regulatory-updates/August-2016/epa-wood-products"
